Wavelength	Red	Reflectance	LowCI	UpperCI
280	Natural	0.98	0.705078388	1.254921612
281	Natural	1.00037037	0.724115837	1.276624904
282	Natural	1.014444444	0.73526367	1.293625219
283	Natural	1.049753086	0.765229314	1.334276859
284	Natural	1.04962963	0.762754831	1.336504429
285	Natural	1.026049383	0.737520151	1.314578615
286	Natural	1.04308642	0.751277026	1.334895814
287	Natural	1.05617284	0.758623876	1.353721803
288	Natural	1.081666667	0.775603426	1.387729907
289	Natural	1.11691358	0.802383484	1.431443677
290	Natural	1.138641975	0.813051016	1.464232935
291	Natural	1.159074074	0.823858812	1.494289336
292	Natural	1.194444444	0.847988815	1.540900074
293	Natural	1.24691358	0.887009616	1.606817545
294	Natural	1.271666667	0.904592585	1.638740748
295	Natural	1.26691358	0.898279231	1.63554793
296	Natural	1.261481481	0.890882676	1.632080287
297	Natural	1.266481481	0.893705801	1.639257162
298	Natural	1.254814815	0.881890382	1.627739248
299	Natural	1.280864198	0.904434977	1.657293418
300	Natural	1.312037037	0.932135039	1.691939035
301	Natural	1.300864198	0.920399752	1.681328643
302	Natural	1.296790123	0.916504233	1.677076014
303	Natural	1.277283951	0.896990785	1.657577116
304	Natural	1.280740741	0.89998651	1.661494972
305	Natural	1.278888889	0.90015779	1.657619987
306	Natural	1.302222222	0.922270111	1.682174333
307	Natural	1.323518519	0.944176807	1.70286023
308	Natural	1.296419753	0.920305208	1.672534298
309	Natural	1.297407407	0.922564562	1.672250252
310	Natural	1.29037037	0.917147694	1.663593047
311	Natural	1.28691358	0.913448854	1.660378306
312	Natural	1.314320988	0.937035283	1.691606692
313	Natural	1.325432099	0.945702698	1.705161499
314	Natural	1.317222222	0.937122223	1.697322221
315	Natural	1.299012346	0.920083372	1.67794132
316	Natural	1.258518519	0.883935627	1.63310141
317	Natural	1.24462963	0.870259327	1.618999933
318	Natural	1.263950617	0.888942007	1.638959228
319	Natural	1.273209877	0.897896776	1.648522977
320	Natural	1.294814815	0.917820726	1.671808904
321	Natural	1.29654321	0.919790828	1.673295591
322	Natural	1.296296296	0.918617213	1.67397538
323	Natural	1.302592593	0.924544788	1.680640398
324	Natural	1.297592593	0.920476736	1.674708449
325	Natural	1.310740741	0.934063919	1.687417563
326	Natural	1.307407407	0.930933451	1.683881364
327	Natural	1.299814815	0.923033732	1.676595897
328	Natural	1.282839506	0.906368694	1.659310318
329	Natural	1.272716049	0.89594151	1.649490589
330	Natural	1.262469136	0.886253096	1.638685176
331	Natural	1.268888889	0.893030532	1.644747246
332	Natural	1.27691358	0.900514841	1.65331232
333	Natural	1.264938272	0.889187581	1.640688962
334	Natural	1.261666667	0.885294778	1.638038555
335	Natural	1.262098765	0.885090732	1.639106799
336	Natural	1.271358025	0.893100396	1.649615653
337	Natural	1.290987654	0.911764618	1.670210691
338	Natural	1.308148148	0.927459425	1.688836871
339	Natural	1.313703704	0.933227069	1.694180338
340	Natural	1.31308642	0.931474855	1.694697985
341	Natural	1.306851852	0.923629037	1.690074666
342	Natural	1.301234568	0.918003819	1.684465317
343	Natural	1.307407407	0.921568493	1.693246322
344	Natural	1.310493827	0.924503415	1.696484239
345	Natural	1.325	0.938320251	1.711679749
346	Natural	1.33691358	0.950075971	1.72375119
347	Natural	1.344938272	0.957175258	1.732701286
348	Natural	1.343209877	0.953032491	1.733387262
349	Natural	1.339259259	0.947413607	1.731104911
350	Natural	1.33382716	0.939381064	1.728273256
351	Natural	1.339382716	0.94206177	1.736703663
352	Natural	1.355740741	0.956365358	1.755116124
353	Natural	1.380740741	0.979631327	1.781850154
354	Natural	1.392222222	0.9890648	1.795379644
355	Natural	1.398271605	0.99347612	1.803067089
356	Natural	1.406481481	0.999612184	1.813350779
357	Natural	1.40345679	0.995564614	1.811348966
358	Natural	1.412839506	1.003555998	1.822123015
359	Natural	1.424197531	1.012582163	1.835812899
360	Natural	1.432592593	1.019961721	1.845223464
361	Natural	1.437530864	1.021881267	1.853180461
362	Natural	1.448888889	1.03086603	1.866911748
363	Natural	1.443333333	1.023478336	1.863188331
364	Natural	1.436666667	1.016117274	1.857216059
365	Natural	1.452098765	1.031048803	1.873148727
366	Natural	1.451604938	1.028072441	1.875137436
367	Natural	1.461111111	1.035140264	1.887081959
368	Natural	1.472592593	1.044094301	1.901090884
369	Natural	1.472716049	1.041647417	1.903784682
370	Natural	1.482962963	1.050488849	1.915437077
371	Natural	1.492592593	1.058406006	1.926779179
372	Natural	1.493209877	1.0577214	1.928698353
373	Natural	1.488024691	1.050089721	1.925959661
374	Natural	1.493209877	1.052881468	1.933538285
375	Natural	1.503703704	1.060514998	1.946892409
376	Natural	1.510864198	1.065362964	1.956365431
377	Natural	1.537407407	1.088698831	1.986115984
378	Natural	1.554691358	1.103395348	2.005987368
379	Natural	1.555925926	1.10324468	2.008607172
380	Natural	1.569753086	1.115478641	2.024027532
381	Natural	1.566049383	1.110019544	2.022079222
382	Natural	1.568395062	1.110044167	2.026745957
383	Natural	1.580185185	1.119470123	2.040900248
384	Natural	1.581728395	1.1183833	2.04507349
385	Natural	1.591851852	1.125740834	2.05796287
386	Natural	1.602962963	1.134547235	2.071378691
387	Natural	1.600925926	1.130997044	2.070854808
388	Natural	1.607160494	1.135618233	2.078702755
389	Natural	1.614320988	1.140933145	2.08770883
390	Natural	1.621481481	1.145938038	2.097024925
391	Natural	1.633888889	1.155893866	2.111883912
392	Natural	1.635925926	1.156244287	2.115607564
393	Natural	1.641481481	1.1594256	2.123537363
394	Natural	1.650493827	1.165999727	2.134987927
395	Natural	1.65462963	1.168714682	2.140544578
396	Natural	1.662962963	1.174615687	2.151310239
397	Natural	1.675185185	1.184704932	2.165665438
398	Natural	1.673703704	1.181748238	2.165659169
399	Natural	1.679444444	1.185864607	2.173024282
400	Natural	1.688765432	1.192452775	2.185078089
401	Natural	1.685679012	1.187169244	2.184188781
402	Natural	1.686790123	1.18657828	2.187001967
403	Natural	1.69	1.188166289	2.191833711
404	Natural	1.692098765	1.189318038	2.194879493
405	Natural	1.704567901	1.199044869	2.210090934
406	Natural	1.719506173	1.210566409	2.228445937
407	Natural	1.730987654	1.219252491	2.242722817
408	Natural	1.732962963	1.219301071	2.246624855
409	Natural	1.738765432	1.22294103	2.254589834
410	Natural	1.744074074	1.226529306	2.261618842
411	Natural	1.737530864	1.217961148	2.25710058
412	Natural	1.741296296	1.219108952	2.263483641
413	Natural	1.743333333	1.219958322	2.266708345
414	Natural	1.735802469	1.21069896	2.260905979
415	Natural	1.746666667	1.220904889	2.272428445
416	Natural	1.75037037	1.225340886	2.275399855
417	Natural	1.748271605	1.222802035	2.273741175
418	Natural	1.755555556	1.228445634	2.282665477
419	Natural	1.752839506	1.224335518	2.281343494
420	Natural	1.760123457	1.227403104	2.29284381
421	Natural	1.772592593	1.238231261	2.306953924
422	Natural	1.773580247	1.239877369	2.307283125
423	Natural	1.77654321	1.240856919	2.3122295
424	Natural	1.79	1.251261346	2.328738654
425	Natural	1.796851852	1.255932471	2.337771233
426	Natural	1.810493827	1.264691402	2.356296252
427	Natural	1.839382716	1.290178915	2.388586517
428	Natural	1.835679012	1.286436474	2.38492155
429	Natural	1.83037037	1.281353998	2.379386743
430	Natural	1.831851852	1.284372639	2.379331065
431	Natural	1.81962963	1.273477236	2.365782023
432	Natural	1.814691358	1.268185887	2.361196829
433	Natural	1.825308642	1.276383289	2.374233995
434	Natural	1.834074074	1.281983436	2.386164712
435	Natural	1.849444444	1.294240832	2.404648057
436	Natural	1.859382716	1.302488205	2.416277227
437	Natural	1.854444444	1.299484809	2.409404079
438	Natural	1.843333333	1.289242724	2.397423943
439	Natural	1.842777778	1.287792431	2.397763124
440	Natural	1.849506173	1.292802264	2.406210081
441	Natural	1.864320988	1.304412003	2.424229972
442	Natural	1.880617284	1.318017699	2.443216869
443	Natural	1.878148148	1.316565236	2.439731061
444	Natural	1.858888889	1.300602786	2.417174992
445	Natural	1.845925926	1.289155804	2.402696048
446	Natural	1.852716049	1.2934151	2.412016999
447	Natural	1.86962963	1.307044898	2.432214361
448	Natural	1.890864198	1.322349775	2.45937862
449	Natural	1.906851852	1.334740198	2.478963505
450	Natural	1.907037037	1.335841267	2.478232807
451	Natural	1.898148148	1.328202858	2.468093438
452	Natural	1.902222222	1.33307426	2.471370185
453	Natural	1.903333333	1.335012767	2.4716539
454	Natural	1.904444444	1.335583586	2.473305302
455	Natural	1.919506173	1.349726595	2.489285751
456	Natural	1.919506173	1.34947156	2.489540786
457	Natural	1.911728395	1.343894652	2.479562138
458	Natural	1.88617284	1.322081597	2.450264082
459	Natural	1.884814815	1.318735141	2.450894489
460	Natural	1.897283951	1.329684859	2.464883042
461	Natural	1.912469136	1.34201104	2.482927231
462	Natural	1.94345679	1.36824583	2.51866775
463	Natural	1.953209877	1.378300103	2.52811965
464	Natural	1.949753086	1.375743106	2.523763066
465	Natural	1.94537037	1.372588326	2.518152415
466	Natural	1.944197531	1.370992113	2.517402949
467	Natural	1.946419753	1.371577143	2.521262363
468	Natural	1.951604938	1.375484631	2.527725246
469	Natural	1.960123457	1.382152639	2.538094274
470	Natural	1.966666667	1.388354878	2.544978455
471	Natural	1.966666667	1.388536187	2.544797146
472	Natural	1.96617284	1.387334887	2.545010792
473	Natural	1.981604938	1.401345267	2.56186461
474	Natural	1.989259259	1.408431941	2.570086578
475	Natural	1.995308642	1.413973442	2.576643842
476	Natural	2.002222222	1.421259326	2.583185118
477	Natural	1.998024691	1.417366712	2.578682671
478	Natural	2.002839506	1.421367315	2.584311698
479	Natural	2.013950617	1.431778339	2.596122896
480	Natural	2.014691358	1.431913268	2.597469448
481	Natural	2.01037037	1.431404365	2.589336376
482	Natural	2.044259259	1.451148676	2.637369843
483	Natural	2.183950617	1.542063093	2.825838141
484	Natural	2.190617284	1.555800216	2.825434352
485	Natural	2.204814815	1.569336624	2.840293005
486	Natural	2.15617284	1.540013105	2.772332574
487	Natural	2.077592593	1.491662114	2.663523071
488	Natural	2.086790123	1.494765655	2.678814591
489	Natural	2.098271605	1.503537062	2.693006148
490	Natural	2.107283951	1.512774638	2.701793263
491	Natural	2.117407407	1.519922592	2.714892222
492	Natural	2.124567901	1.526266952	2.72286885
493	Natural	2.142098765	1.539404143	2.744793388
494	Natural	2.184074074	1.577242381	2.790905767
495	Natural	2.190864198	1.58732679	2.794401606
496	Natural	2.182098765	1.578657154	2.785540376
497	Natural	2.19037037	1.585224802	2.795515938
498	Natural	2.204814815	1.597038102	2.812591527
499	Natural	2.225185185	1.61493796	2.83543241
500	Natural	2.23537037	1.623388748	2.847351993
501	Natural	2.244691358	1.631025725	2.858356991
502	Natural	2.252839506	1.638291189	2.867387823
503	Natural	2.261604938	1.645552974	2.877656902
504	Natural	2.277407407	1.659185431	2.895629384
505	Natural	2.291358025	1.671751151	2.910964898
506	Natural	2.304259259	1.683986032	2.924532486
507	Natural	2.315925926	1.693905634	2.937946217
508	Natural	2.331358025	1.706737814	2.955978235
509	Natural	2.353580247	1.725906312	2.981254182
510	Natural	2.374444444	1.744439585	3.004449303
511	Natural	2.39617284	1.764241047	3.028104632
512	Natural	2.414814815	1.781678075	3.047951555
513	Natural	2.428333333	1.793650502	3.063016164
514	Natural	2.445432099	1.808628632	3.082235566
515	Natural	2.464197531	1.82551551	3.102879552
516	Natural	2.472345679	1.833032901	3.111658457
517	Natural	2.474197531	1.834153502	3.11424156
518	Natural	2.491851852	1.847562155	3.136141549
519	Natural	2.519259259	1.871358926	3.167159593
520	Natural	2.551358025	1.899478362	3.203237687
521	Natural	2.58537037	1.93046253	3.24027821
522	Natural	2.605925926	1.950812228	3.261039624
523	Natural	2.617407407	1.961652907	3.273161908
524	Natural	2.624938272	1.968025067	3.281851476
525	Natural	2.648888889	1.986848357	3.310929421
526	Natural	2.666049383	2.00379273	3.328306036
527	Natural	2.725061728	2.041896513	3.408226944
528	Natural	2.812037037	2.105937571	3.518136503
529	Natural	2.838024691	2.133727111	3.542322272
530	Natural	2.873703704	2.164980268	3.582427139
531	Natural	2.88654321	2.18744629	3.58564013
532	Natural	2.83654321	2.157075216	3.516011204
533	Natural	2.852469136	2.165910513	3.539027759
534	Natural	2.882962963	2.193581515	3.572344411
535	Natural	2.912962963	2.218355602	3.607570324
536	Natural	2.969074074	2.268454992	3.669693156
537	Natural	2.996419753	2.293960017	3.698879489
538	Natural	3.016419753	2.309996592	3.722842914
539	Natural	3.054938272	2.346907476	3.762969067
540	Natural	3.040987654	2.33469241	3.747282899
541	Natural	3.073333333	2.359685465	3.786981201
542	Natural	3.115802469	2.398591775	3.833013164
543	Natural	3.180864198	2.454465931	3.907262464
544	Natural	3.266049383	2.535227137	3.996871628
545	Natural	3.288333333	2.556476389	4.020190278
546	Natural	3.314074074	2.57730919	4.050838958
547	Natural	3.352222222	2.612010497	4.092433948
548	Natural	3.401234568	2.656080348	4.146388788
549	Natural	3.461481481	2.709953533	4.21300943
550	Natural	3.510864198	2.755610198	4.266118197
551	Natural	3.535679012	2.775791871	4.295566154
552	Natural	3.574691358	2.809653235	4.339729481
553	Natural	3.627407407	2.858563018	4.396251796
554	Natural	3.674444444	2.902913217	4.445975672
555	Natural	3.738395062	2.961438702	4.515351421
556	Natural	3.803333333	3.020298222	4.586368445
557	Natural	3.858518519	3.067888463	4.649148575
558	Natural	3.911111111	3.112380853	4.709841369
559	Natural	3.959876543	3.154566208	4.765186879
560	Natural	4.013950617	3.203085584	4.824815651
561	Natural	4.075679012	3.258214073	4.893143951
562	Natural	4.141975309	3.318108667	4.965841951
563	Natural	4.21308642	3.382275718	5.043897121
564	Natural	4.26462963	3.427981328	5.101277931
565	Natural	4.309259259	3.465819912	5.152698606
566	Natural	4.377283951	3.524324816	5.230243086
567	Natural	4.448024691	3.586627277	5.309422106
568	Natural	4.526049383	3.655559241	5.396539524
569	Natural	4.612716049	3.733405266	5.492026833
570	Natural	4.672716049	3.78816219	5.557269909
571	Natural	4.74	3.847855973	5.632144027
572	Natural	4.821111111	3.920694188	5.721528035
573	Natural	4.894691358	3.986400022	5.802982694
574	Natural	4.984197531	4.064821304	5.903573758
575	Natural	5.071111111	4.141563773	6.000658449
576	Natural	5.136851852	4.198383137	6.075320567
577	Natural	5.213950617	4.264732347	6.163168888
578	Natural	5.310864198	4.347743402	6.273984993
579	Natural	5.395308642	4.418789706	6.371827578
580	Natural	5.475925926	4.48561731	6.466234542
581	Natural	5.555925926	4.552677098	6.559174754
582	Natural	5.635925926	4.619781794	6.652070058
583	Natural	5.71962963	4.690262433	6.748996826
584	Natural	5.809753086	4.767687395	6.851818778
585	Natural	5.897777778	4.843236096	6.95231946
586	Natural	5.985432099	4.919125916	7.051738281
587	Natural	6.069012346	4.99114369	7.146881002
588	Natural	6.148641975	5.059340463	7.237943488
589	Natural	6.231234568	5.129631667	7.332837468
590	Natural	6.306296296	5.193373237	7.419219356
591	Natural	6.38037037	5.255781283	7.504959458
592	Natural	6.47	5.330935566	7.609064434
593	Natural	6.553209877	5.400420845	7.705998908
594	Natural	6.634938272	5.467585671	7.802290872
595	Natural	6.69617284	5.517853666	7.874492013
596	Natural	6.751851852	5.561881818	7.941821886
597	Natural	6.844814815	5.638878828	8.050750802
598	Natural	6.930493827	5.710221504	8.15076615
599	Natural	7.044320988	5.804256227	8.284385748
600	Natural	7.154814815	5.89467384	8.414955789
601	Natural	7.214074074	5.940743548	8.4874046
602	Natural	7.25691358	5.972311074	8.541516086
603	Natural	7.307654321	6.012402126	8.602906516
604	Natural	7.393333333	6.082124972	8.704541694
605	Natural	7.504938272	6.173820156	8.836056387
606	Natural	7.623580247	6.270511625	8.976648869
607	Natural	7.737160494	6.362168486	9.112152502
608	Natural	7.78691358	6.398757065	9.175070095
609	Natural	7.840555556	6.440423229	9.240687882
610	Natural	7.909382716	6.496421117	9.322344315
611	Natural	8.01691358	6.584966789	9.448860371
612	Natural	8.149012346	6.693273455	9.604751236
613	Natural	8.247901235	6.774363972	9.721438498
614	Natural	8.325308642	6.838218019	9.812399265
615	Natural	8.392716049	6.892938151	9.892493948
616	Natural	8.467777778	6.952963744	9.982591812
617	Natural	8.535925926	7.005025	10.06682685
618	Natural	8.602716049	7.055653121	10.14977898
619	Natural	8.679012346	7.115531436	10.24249326
620	Natural	8.755555556	7.1765024	10.33460871
621	Natural	8.828395062	7.235910732	10.42087939
622	Natural	8.900864198	7.294355318	10.50737308
623	Natural	8.97382716	7.353638964	10.59401536
624	Natural	9.037530864	7.404317997	10.67074373
625	Natural	9.084320988	7.440874678	10.7277673
626	Natural	9.134197531	7.481117256	10.78727781
627	Natural	9.207901235	7.541454303	10.87434817
628	Natural	9.281604938	7.599129856	10.96408002
629	Natural	9.379259259	7.676942219	11.0815763
630	Natural	9.45691358	7.734185493	11.17964167
631	Natural	9.518271605	7.779680894	11.25686232
632	Natural	9.572839506	7.821309864	11.32436915
633	Natural	9.627407407	7.864014053	11.39080076
634	Natural	9.694320988	7.917619216	11.47102276
635	Natural	9.764938272	7.974280521	11.55559602
636	Natural	9.848148148	8.040724717	11.65557158
637	Natural	9.924938272	8.102299064	11.74757748
638	Natural	9.986296296	8.151724581	11.82086801
639	Natural	10.0537037	8.206845682	11.90056172
640	Natural	10.11518519	8.2570932	11.97327717
641	Natural	10.18074074	8.311106737	12.05037474
642	Natural	10.24580247	8.364485544	12.12711939
643	Natural	10.30283951	8.410025876	12.19565314
644	Natural	10.36617284	8.462332823	12.27001286
645	Natural	10.4254321	8.511939156	12.33892504
646	Natural	10.47888889	8.555139074	12.4026387
647	Natural	10.53234568	8.599339058	12.4653523
648	Natural	10.58876543	8.646468034	12.53106283
649	Natural	10.64	8.689304668	12.59069533
650	Natural	10.6917284	8.734150006	12.64930678
651	Natural	10.74506173	8.781207184	12.70891627
652	Natural	10.80209877	8.82965388	12.77454365
653	Natural	10.86074074	8.878763963	12.84271752
654	Natural	10.91654321	8.924627826	12.90845859
655	Natural	10.96506173	8.96531795	12.96480551
656	Natural	11.00234568	8.999220696	13.00547066
657	Natural	11.0162963	9.013068636	13.01952396
658	Natural	11.01246914	9.013356222	13.01158205
659	Natural	11.0608642	9.054139988	13.06758841
660	Natural	11.11518519	9.096104231	13.13426614
